Company_Name,Category,Address,Url,Latitude,Longitude,Territory
Apollo Clinic,Medical clinic,"29 Old Tiruchanoor Road, near Lakshmipuram Cirle, Tirupati, Andhra Pradesh 517501, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a4d4ba142419fc9:0xf4d399f0b633bbe6!8m2!3d13.6231082!4d79.4301174?authuser=0&hl=en&rclk=1,13.6231082,79.4301174,Andhra Pradesh
Apollo Clinic,Medical clinic,"50–81–1/2 Plot 5 - 1 Sheethammapeta, Andhra Pradesh 530016, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a39433afe71759f:0xd71bcfa95bbe6071!8m2!3d17.7298328!4d83.3066024?authuser=0&hl=en&rclk=1,17.7298328,83.3066024,Andhra Pradesh
Queen's NRI Hospital,Hospital,"d.no, 50-53-14, Gurudwara Rd, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh 530013, India",https://www.google.co.kr/maps/place/Queen's+NRI+Hospital/data=!4m5!3m4!1s0x3a3943311226a1ed:0x2f12873df4d18d45!8m2!3d17.7404065!4d83.3081929?authuser=0&hl=en&rclk=1,17.7404065,83.3081929,Andhra Pradesh
Manipal Clinics,Medical clinic,"17.686543, 83.203952, India",https://www.google.co.kr/maps/place/Manipal+Clinics/data=!4m5!3m4!1s0x3a396906c10574c3:0x2c845e1ce6f92efb!8m2!3d17.686543!4d83.203952?authuser=0&hl=en&rclk=1,17.686543,83.203952,Andhra Pradesh
Apollo Clinic,Medical clinic,"Murali Nagar St, Muralinagar, Madhavadhara, Visakhapatnam, Andhra Pradesh 530007, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x3a395d53afdb1261:0x6eca82f97b3b0713!8m2!3d17.7463089!4d83.2580708?authuser=0&hl=en&rclk=1,17.7463089,83.2580708,Andhra Pradesh
"CARE Hospitals - Ram Nagar, Visakhapatnam",Hospital,"AS Raja Complex, 10-50-11/5, Waltair Main Rd, Ram Nagar, Visakhapatnam, Andhra Pradesh 530002, India","https://www.google.co.kr/maps/place/CARE+Hospitals+-+Ram+Nagar,+Visakhapatnam/data=!4m5!3m4!1s0x3a394315702cc723:0x62489f0d151875b1!8m2!3d17.7202776!4d83.3126239?authuser=0&hl=en&rclk=1",17.7202776,83.3126239,Andhra Pradesh
Nalluri Nursing Home,Hospital,"Kothapatnam Road, MaratiPalem, Ongole, Andhra Pradesh 523001, India",https://www.google.co.kr/maps/place/Nalluri+Nursing+Home/data=!4m5!3m4!1s0x3a4b01019ac93fbd:0x8ad3a9982a0cc570!8m2!3d15.5048795!4d80.0513069?authuser=0&hl=en&rclk=1,15.5048795,80.0513069,Andhra Pradesh
Health clinic,Medical clinic,"MF64+CCM, Nagaraju Gunta, Andhra Pradesh 523241, India",https://www.google.co.kr/maps/place/Health+clinic/data=!4m5!3m4!1s0x3a4ad3840d078da3:0x24f2594988a4ae01!8m2!3d15.6610855!4d79.456058?authuser=0&hl=en&rclk=1,15.6610855,79.456058,Andhra Pradesh
"కడియాల ఫిజియోథెరపీ క్లినిక్ Kadiyala Physiotherapy Clinic, కడియాల ఫిజియో థెరపి క్లినిక్",Hospital,"Raja gari kota, Barampet, Narasaraopeta, Andhra Pradesh 522601, India","https://www.google.co.kr/maps/place/%E0%B0%95%E0%B0%A1%E0%B0%BF%E0%B0%AF%E0%B0%BE%E0%B0%B2+%E0%B0%AB%E0%B0%BF%E0%B0%9C%E0%B0%BF%E0%B0%AF%E0%B1%8B%E0%B0%A5%E0%B1%86%E0%B0%B0%E0%B0%AA%E0%B1%80+%E0%B0%95%E0%B1%8D%E0%B0%B2%E0%B0%BF%E0%B0%A8%E0%B0%BF%E0%B0%95%E0%B1%8D+Kadiyala+Physiotherapy+Clinic,+%E0%B0%95%E0%B0%A1%E0%B0%BF%E0%B0%AF%E0%B0%BE%E0%B0%B2+%E0%B0%AB%E0%B0%BF%E0%B0%9C%E0%B0%BF%E0%B0%AF%E0%B1%8B+%E0%B0%A5%E0%B1%86%E0%B0%B0%E0%B0%AA%E0%B0%BF+%E0%B0%95%E0%B1%8D%E0%B0%B2%E0%B0%BF%E0%B0%A8%E0%B0%BF%E0%B0%95%E0%B1%8D/data=!4m5!3m4!1s0x3a4a80e219d5231d:0xa721fabf6ca1af6a!8m2!3d16.2382318!4d80.053335?authuser=0&hl=en&rclk=1",16.2382318,80.053335,Andhra Pradesh
AKSHAYA HOSPITAL,Hospital,"43-9-201, SLV Arcade, opp. Sreekanya Building, Theatre, Railway New Colony, Visakhapatnam, Andhra Pradesh 530016, India",https://www.google.co.kr/maps/place/AKSHAYA+HOSPITAL/data=!4m5!3m4!1s0x3a3943275d4ee569:0xfb64bf4850a8c704!8m2!3d17.727636!4d83.2940483?authuser=0&hl=en&rclk=1,17.727636,83.2940483,Andhra Pradesh
