x,Military,Individual,Others_etc
2017-1Q,0,0,0
2017-2Q,0,0,19829.38
2017-3Q,0,255535.71,0
2017-4Q,0,0,0
2018-1Q,0,3875.166,571.428
2018-2Q,0,17839.29,3208.724211
2018-3Q,0,0,32003.895
2018-4Q,0,0,23883.74553
2019-1Q,0,4331.06383,6806.970588
2019-2Q,0,3767.9,3653.217391
2019-3Q,0,11937.55556,7235.3
2019-4Q,0,21510.25641,7807.4
2020-1Q,0,5942.620798,16263.35113
2020-2Q,0,9499.55357,11288.39285
2020-3Q,0,15857.34329,10802.98469
2020-4Q,0,8601.477831,9952.599788
2021-1Q,1160,14437.55556,10435.95652
2021-2Q,0,24676.22222,15681.625
2021-3Q,0,16092.66667,5084.333333
