x,Others Corporate,Public Association,Aesthetic
2017-1Q,430188.6767,0,400342.64
2017-2Q,22789.09,0,282735.85
2017-3Q,410894.594,0,0
2017-4Q,319688.7757,0,1118214.92
2018-1Q,367307.065,714.28,291261.026
2018-2Q,336717.68,720029.7633,123014.8575
2018-3Q,350608.5486,201338.615,214988.805
2018-4Q,295851.6487,901785.71,302149.998
2019-1Q,117146.1053,595089.5,66946.14286
2019-2Q,349776.7273,0,165833.625
2019-3Q,67981.64706,0,87133.9375
2019-4Q,160367.9167,1145833.333,122889.2
2020-1Q,72433.91723,61190.4762,91748.09253
2020-2Q,161727.5341,0,40033.21429
2020-3Q,107052.4439,133309.5238,200633.3673
2020-4Q,73997.32143,0,105086.039
2021-1Q,132112.6923,215319.625,65417.90909
2021-2Q,123310.9167,258000,107587.4444
2021-3Q,128717,145593.3333,0
