x,y
2017-1,433333.33499999996
2017-2,0.0
2017-3,462962.2640000001
2017-4,433962.26
2017-5,282735.85
2017-6,424528.3
2017-7,425000.0
2017-8,391323.48333333334
2017-9,363832.1433333333
2017-10,419508.93
2017-11,594645.0883333333
2017-12,418401.78500000003
2018-1,206938.56
2018-2,104655.05750000001
2018-3,351598.1628571428
2018-4,130133.60454545454
2018-5,230331.5557142857
2018-6,96336.608
2018-7,84737.685
2018-8,436496.7866666666
2018-9,233861.4909090909
2018-10,16178.57
2018-11,310039.23
2018-12,72878.00857142857
2019-1,68303.625
2019-2,107965.875
2019-3,104986.4
2019-4,233350.04347826086
2019-5,133333.33333333334
2019-6,113679.85714285714
2019-7,112595.11764705883
2019-8,74593.75
2019-9,130011.38888888889
2019-10,78811.0
2019-11,100372.0
2019-12,163693.375
2020-1,108027.67857142
2020-2,126810.7142910875
2020-3,113669.51636345832
2020-4,0.0
2020-5,0.0
2020-6,46728.717310021006
2020-7,100687.54464278625
2020-8,67326.53061837143
2020-9,167816.071427
2020-10,138220.75893215
2020-11,194024.6031774
2020-12,212304.68750125
2021-1,57809.22222222222
2021-2,123864.0625
2021-3,113041.95
2021-4,181229.9
2021-5,0.0
2021-6,165691.22222222222
2021-7,106117.125
