x,y
2017-1,422621.905
2017-2,436320.7525
2017-3,429245.755
2017-4,627358.49
2017-5,542452.83
2017-6,430188.6766666667
2017-7,774999.915
2017-8,387946.43
2017-9,0.0
2017-10,891427.4
2017-11,16964.29
2017-12,280535.71499999997
2018-1,265564.28599999996
2018-2,1785.71
2018-3,283504.675
2018-4,300982.1433333333
2018-5,465896.56
2018-6,245059.24470588236
2018-7,252970.24
2018-8,188340.88444444444
2018-9,226000.0
2018-10,429870.94272727275
2018-11,616070.82
2018-12,181293.6985714285
2019-1,174765.0
2019-2,115714.4
2019-3,173468.75
2019-4,79613.16666666667
2019-5,84622.2
2019-6,421033.6875
2019-7,140920.06666666668
2019-8,146928.95652173914
2019-9,165392.8
2019-10,229350.9411764706
2019-11,128482.0
2019-12,119103.83333333333
2020-1,85372.02381458583
2020-2,117714.75563844212
2020-3,25596.048730479997
2020-4,0.0
2020-5,0.0
2020-6,7759.322034000002
2020-7,0.0
2020-8,58819.82143292
2020-9,120461.1473191875
2020-10,21762.276785
2020-11,99062.5000035
2020-12,42053.57142366667
2021-1,115120.2
2021-2,97789.2
2021-3,104193.86842105263
2021-4,227500.0
2021-5,0.0
2021-6,110119.0
2021-7,62319.6
