x,Others Corporate,Public Association,Aesthetic
2017-1Q,0,0,0
2017-2Q,0.08,0.5,0.090909091
2017-3Q,0.447368421,0.4,0.756756757
2017-4Q,0.394736842,0.1,0.260869565
2018-1Q,0.112676056,0.1875,0.166666667
2018-2Q,0.238095238,0.4,0.1875
2018-3Q,0.153846154,0,0.214285714
2018-4Q,0.108108108,0.428571429,0.333333333
2019-1Q,0.111111111,0,0
2019-2Q,0.142857143,0.666666667,0.333333333
2019-3Q,0.028571429,0,0.25
2019-4Q,0.035714286,0.068965517,0.565217391
2020-1Q,0.137931034,0,0.958333333
2020-2Q,0,0,0
2020-3Q,0.666666667,0,0.875
2020-4Q,0.222222222,0,0
2021-1Q,0.65,0.4,0.727272727
2021-2Q,0.666666667,0,0.5
2021-3Q,0,0,0
