x,y
2017-1,11
2017-2,11
2017-3,15
2017-4,19
2017-5,17
2017-6,16
2017-7,18
2017-8,71
2017-9,261
2017-10,61
2017-11,33
2017-12,37
2018-1,38
2018-2,43
2018-3,94
2018-4,34
2018-5,48
2018-6,74
2018-7,57
2018-8,43
2018-9,26
2018-10,30
2018-11,32
2018-12,26
2019-1,34
2019-2,32
2019-3,38
2019-4,34
2019-5,30
2019-6,22
2019-7,52
2019-8,35
2019-9,21
2019-10,35
2019-11,36
2019-12,52
2020-1,54
2020-2,68
2020-3,71
2020-4,4
2020-5,6
2020-6,16
2020-7,8
2020-8,14
2020-9,19
2020-10,37
2020-11,28
2020-12,46
2021-1,44
2021-2,39
2021-3,63
2021-4,24
2021-5,20
2021-6,15
2021-7,40
