x,Others_Others Corporate,Public Association,Others_Aesthetic
2017-1Q,0.0,0.0,0.0
2017-2Q,1.0,0.0,0.0
2017-3Q,0.9117647058823529,1.0,0.9285714285714286
2017-4Q,0.5333333333333333,0.0,0.3333333333333333
2018-1Q,0.25,0.0,0.5
2018-2Q,0.3,0.0,0.3333333333333333
2018-3Q,0.5,0.0,0.0
2018-4Q,0.5,0.0,1.0
2019-1Q,0.0,0.0,0.0
2019-2Q,0.0,0.5,0.6666666666666666
2019-3Q,0.0,0.0,0.3333333333333333
2019-4Q,0.0,0.5,0.23076923076923078
2020-1Q,0.25,0.0,0.17391304347826086
2020-2Q,0.0,0.0,0.5
2020-3Q,0.0,0.0,0.0
2020-4Q,0.5,0.0,0.4166666666666667
2021-1Q,0.5384615384615384,0.5,0.75
2021-2Q,0.75,0.0,0.0
2021-3Q,0.3333333333333333,0.0,0.0
