x,y
2017-1,28
2017-2,19
2017-3,106
2017-4,213
2017-5,106
2017-6,86
2017-7,248
2017-8,607
2017-9,1183
2017-10,187
2017-11,91
2017-12,861
2018-1,196
2018-2,232
2018-3,145
2018-4,168
2018-5,93
2018-6,186
2018-7,93
2018-8,89
2018-9,164
2018-10,507
2018-11,180
2018-12,104
2019-1,58
2019-2,167
2019-3,87
2019-4,185
2019-5,294
2019-6,55
2019-7,300
2019-8,157
2019-9,60
2019-10,691
2019-11,215
2019-12,216
2020-1,73
2020-2,171
2020-3,137
2020-4,11
2020-5,45
2020-6,24
2020-7,32
2020-8,21
2020-9,17
2020-10,33
2020-11,39
2020-12,176
2021-1,143
2021-2,208
2021-3,267
2021-4,83
2021-5,175
2021-6,181
2021-7,136
