x,Others Corporate,Public Association,Aesthetic
2017-1Q,0,0,0
2017-2Q,8,0,0
2017-3Q,40.78947368,40,70.27027027
2017-4Q,21.05263158,0,8.695652174
2018-1Q,2.816901408,0,8.333333333
2018-2Q,7.142857143,0,6.25
2018-3Q,7.692307692,0,0
2018-4Q,5.405405405,0,33.33333333
2019-1Q,0,0,0
2019-2Q,0,33.33333333,22.22222222
2019-3Q,0,0,8.333333333
2019-4Q,0,3.448275862,13.04347826
2020-1Q,3.448275862,0,16.66666667
2020-2Q,0,0,0
2020-3Q,0,0,0
2020-4Q,11.11111111,0,0
2021-1Q,35,20,54.54545455
2021-2Q,50,0,0
2021-3Q,0,0,0
