x,Military,Individual,Others_etc
2017-1Q,0,0,0
2017-2Q,0,0,19829.38
2017-3Q,0,255535.71,0
2017-4Q,0,0,0
2018-1Q,0,19375.83,2857.14
2018-2Q,0,17839.29,121931.52
2018-3Q,0,0,384046.74
2018-4Q,0,0,907582.33
2019-1Q,0,203560,231437
2019-2Q,0,113037,84024
2019-3Q,0,537190,217059
2019-4Q,0,838900,195185
2020-1Q,0,202049.1071,552953.9386
2020-2Q,0,75996.42856,203191.0714
2020-3Q,0,777009.8214,378104.4642
2020-4Q,0,249442.8571,338388.3928
2021-1Q,1160,389814,240027
2021-2Q,0,444172,250906
2021-3Q,0,193112,30506
