x,Others_Others Corporate,Public Association
2017-1,0.0,0.0
2017-2,433962.26,0.0
2017-3,856603.77,0.0
2017-4,0.0,0.0
2017-5,0.0,0.0
2017-6,22789.09,0.0
2017-7,425000.0,0.0
2018-1,7627.12,0.0
2018-2,10714.28,714.28
2018-3,1450886.8599999999,0.0
2018-4,0.0,0.0
2018-5,400446.43,968750.0
2018-6,946424.29,1191339.29
2018-7,2380820.57,0.0
2019-1,17839.0,0.0
2019-2,935418.0,1160715.0
2019-3,1272519.0,1219643.0
2019-4,2749999.0,0.0
2019-5,0.0,0.0
2019-6,1097545.0,0.0
2019-7,600534.0,0.0
2020-1,8928.571429000001,183571.4286143
2020-2,1228067.8572009997,0.0
2020-3,211681.91587579998,0.0
2020-4,0.0,0.0
2020-5,1116071.4282857003,0.0
2020-6,662931.44669272,0.0
2020-7,177441.18857,0.0
2021-1,1214687.0,0.0
2021-2,2834191.0,0.0
2021-3,2820982.0,1722557.0
2021-4,1366416.0,0.0
2021-5,1098991.0,0.0
2021-6,494055.0,1290000.0
2021-7,2703057.0,436780.0
